period,ratio,category
2025-02-13,79.09547,비타민D
2025-02-14,69.34673,비타민D
2025-02-15,76.0804,비타민D
2025-02-16,77.68844,비타민D
2025-02-17,91.95979,비타민D
2025-02-18,100.0,비타민D
2025-02-19,92.46231,비타민D
2025-02-20,69.44723,비타민D
2025-02-21,66.83417,비타민D
2025-02-22,79.19597,비타민D
2025-02-23,84.72361,비타민D
2025-02-24,95.37688,비타민D
2025-02-25,79.39698,비타민D
2025-02-26,78.29145,비타민D
2025-02-27,75.97989,비타민D
2025-02-28,62.11055,비타민D
2025-03-01,61.60804,비타민D
2025-03-02,56.0804,비타민D
2025-03-03,76.98492,비타민D
2025-03-04,86.63316,비타민D
2025-03-05,75.07537,비타민D
2025-03-06,74.67336,비타민D
2025-03-07,65.42713,비타민D
2025-03-08,59.39698,비타민D
2025-03-09,65.42713,비타민D
2025-03-10,77.48743,비타민D
2025-03-11,72.56281,비타민D
2025-03-12,74.77386,비타민D
2025-03-13,76.78391,비타민D
2025-03-14,63.61809,비타민D
2025-03-15,64.42211,비타민D
2025-03-16,72.66331,비타민D
2025-03-17,81.20603,비타민D
2025-03-18,86.23115,비타민D
2025-03-19,80.60301,비타민D
2025-03-20,75.57788,비타민D
2025-03-21,82.91457,비타민D
2025-03-22,77.28643,비타민D
2025-03-23,63.21608,비타민D
2025-03-24,80.40201,비타민D
2025-03-25,85.32663,비타민D
2025-03-26,67.63819,비타민D
2025-03-27,73.06532,비타민D
2025-03-28,56.88442,비타민D
2025-03-29,65.22613,비타민D
2025-03-30,72.86432,비타민D
2025-03-31,83.51758,비타민D
2025-04-01,73.46733,비타민D
2025-04-02,77.78894,비타민D
2025-04-03,79.89949,비타민D
2025-04-04,65.92964,비타민D
2025-04-05,67.73869,비타민D
2025-04-06,67.43718,비타민D
2025-04-07,76.88442,비타민D
2025-04-08,69.74874,비타민D
2025-04-09,75.07537,비타민D
2025-04-10,90.15075,비타민D
2025-04-11,77.38693,비타민D
2025-04-12,67.13567,비타민D
2025-04-13,77.08542,비타민D
2025-04-14,88.74371,비타민D
2025-04-15,81.90954,비타민D
2025-04-16,70.65326,비타민D
2025-04-17,78.09045,비타민D
2025-04-18,79.89949,비타민D
2025-04-19,65.12562,비타민D
2025-04-20,65.22613,비타민D
2025-04-21,77.68844,비타민D
2025-04-22,83.81909,비타민D
2025-04-23,66.33165,비타민D
2025-04-24,66.03015,비타민D
2025-04-25,60.0,비타민D
2025-04-26,50.55276,비타민D
2025-04-27,69.24623,비타민D
2025-04-28,82.81407,비타민D
2025-04-29,73.26633,비타민D
2025-04-30,75.47738,비타민D
2025-05-01,55.97989,비타민D
2025-05-02,64.92462,비타민D
2025-05-03,54.17085,비타민D
2025-05-04,63.91959,비타민D
2025-05-05,50.65326,비타민D
2025-05-06,62.21105,비타민D
2025-05-07,76.88442,비타민D
2025-05-08,62.21105,비타민D
2025-05-09,59.09547,비타민D
2025-05-10,43.41708,비타민D
2025-05-11,59.49748,비타민D
2025-05-12,73.56783,비타민D
2025-05-13,66.23115,비타민D
2025-05-14,65.72864,비타민D
2025-05-15,58.69346,비타민D
2025-05-16,48.1407,비타민D
2025-05-17,42.41206,비타민D
2025-05-18,54.97487,비타민D
2025-05-19,46.43216,비타민D
2025-05-20,55.07537,비타민D
2025-05-21,46.83417,비타민D
2025-05-22,48.3417,비타민D
2025-05-23,49.34673,비타민D
2025-05-24,42.81407,비타민D
2025-05-25,48.74371,비타민D
2025-05-26,51.25628,비타민D
2025-05-27,53.76884,비타민D
2025-05-28,45.62814,비타민D
2025-05-29,47.73869,비타민D
2025-05-30,50.05025,비타민D
2025-05-31,37.78894,비타민D
2025-06-01,42.21105,비타민D
2025-06-02,52.1608,비타민D
2025-06-03,53.66834,비타민D
2025-06-04,52.2613,비타민D
2025-06-05,48.44221,비타민D
2025-06-06,42.21105,비타민D
2025-06-07,41.30653,비타민D
2025-06-08,53.36683,비타민D
2025-06-09,46.43216,비타민D
2025-06-10,50.15075,비타민D
2025-06-11,53.86934,비타민D
2025-06-12,55.47738,비타민D
2025-06-13,53.56783,비타민D
2025-06-14,41.70854,비타민D
2025-06-15,50.45226,비타민D
2025-06-16,55.97989,비타민D
2025-06-17,52.2613,비타민D
2025-06-18,46.93467,비타민D
2025-06-19,45.92964,비타민D
2025-06-20,28.84422,비타민D
2025-06-21,29.64824,비타민D
2025-06-22,40.60301,비타민D
2025-06-23,48.94472,비타민D
2025-06-24,49.84924,비타민D
2025-06-25,40.70351,비타민D
2025-06-26,48.0402,비타민D
2025-06-27,44.82412,비타민D
2025-06-28,30.15075,비타민D
2025-06-29,35.97989,비타민D
2025-06-30,45.02512,비타민D
2025-07-01,38.49246,비타민D
2025-07-02,35.87939,비타민D
2025-07-03,41.00502,비타민D
2025-07-04,32.46231,비타민D
2025-07-05,33.56783,비타민D
2025-07-06,41.80904,비타민D
2025-07-07,42.01005,비타민D
2025-07-08,43.11557,비타민D
2025-07-09,42.21105,비타민D
2025-07-10,41.10552,비타민D
2025-07-11,38.79396,비타민D
2025-07-12,29.44723,비타민D
2025-07-13,28.94472,비타민D
2025-07-14,49.04522,비타민D
2025-07-15,46.73366,비타민D
2025-07-16,39.29648,비타민D
2025-07-17,45.82914,비타민D
2025-07-18,34.37185,비타민D
2025-07-19,25.92964,비타민D
2025-07-20,36.58291,비타민D
2025-07-21,42.01005,비타민D
2025-07-22,37.38693,비타민D
2025-07-23,37.48743,비타민D
2025-07-24,32.0603,비타민D
2025-07-25,35.17587,비타민D
2025-07-26,26.33165,비타민D
2025-07-27,32.46231,비타민D
2025-07-28,28.84422,비타민D
2025-07-29,36.3819,비타민D
2025-07-30,44.52261,비타민D
2025-07-31,34.87437,비타민D
2025-08-01,24.52261,비타민D
2025-08-02,24.82412,비타민D
2025-08-03,30.95477,비타민D
2025-08-04,35.17587,비타민D
2025-08-05,40.3015,비타민D
2025-08-06,37.28643,비타민D
2025-08-07,37.68844,비타민D
2025-08-08,33.16582,비타민D
2025-08-09,33.76884,비타민D
2025-08-10,36.78391,비타민D
2025-08-11,41.60804,비타민D
2025-08-12,49.64824,비타민D
2025-08-13,38.59296,비타민D
2025-08-14,27.23618,비타민D
2025-08-15,33.66834,비타민D
2025-08-16,29.74874,비타민D
2025-08-17,45.72864,비타민D
2025-08-18,35.97989,비타민D
2025-08-19,38.99497,비타민D
2025-08-20,31.25628,비타민D
2025-08-21,37.38693,비타민D
2025-08-22,29.64824,비타민D
2025-08-23,31.75879,비타민D
2025-08-24,38.99497,비타민D
2025-08-25,41.40703,비타민D
2025-08-26,34.27135,비타민D
2025-08-27,43.51758,비타민D
2025-08-28,36.58291,비타민D
2025-08-29,30.05025,비타민D
2025-08-30,27.93969,비타민D
2025-08-31,32.86432,비타민D
2025-09-01,29.94974,비타민D
2025-09-02,30.05025,비타민D
2025-09-03,41.30653,비타민D
2025-09-04,35.77889,비타민D
2025-09-05,26.83417,비타민D
2025-09-06,23.81909,비타민D
2025-09-07,28.74371,비타민D
2025-09-08,37.58793,비타민D
2025-09-09,31.65829,비타민D
2025-09-10,26.83417,비타민D
2025-09-11,33.06532,비타민D
2025-09-12,23.11557,비타민D
2025-09-13,21.70854,비타민D
2025-09-14,34.17085,비타민D
2025-09-15,30.15075,비타민D
2025-09-16,37.98994,비타민D
2025-09-17,26.53266,비타민D
2025-09-18,24.1206,비타민D
2025-09-19,27.63819,비타민D
2025-09-20,30.25125,비타민D
2025-09-21,31.95979,비타민D
2025-09-22,32.0603,비타민D
2025-09-23,30.45226,비타민D
2025-09-24,37.68844,비타민D
2025-09-25,28.0402,비타민D
2025-09-26,24.52261,비타민D
2025-09-27,24.42211,비타민D
2025-09-28,23.81909,비타민D
2025-09-29,31.15577,비타민D
2025-09-30,24.82412,비타민D
2025-10-01,26.83417,비타민D
2025-10-02,22.81407,비타민D
2025-10-03,22.41206,비타민D
2025-10-04,19.89949,비타민D
2025-10-05,19.79899,비타민D
2025-10-06,17.08542,비타민D
2025-10-07,15.37688,비타민D
2025-10-08,26.73366,비타민D
2025-10-09,24.2211,비타민D
2025-10-10,32.2613,비타민D
2025-10-11,27.83919,비타민D
2025-10-12,36.2814,비타민D
2025-10-13,33.76884,비타민D
2025-10-14,34.47236,비타민D
2025-10-15,32.66331,비타민D
2025-10-16,27.33668,비타민D
2025-10-17,33.16582,비타민D
2025-10-18,23.81909,비타민D
2025-10-19,35.17587,비타민D
2025-10-20,40.90452,비타민D
2025-10-21,38.59296,비타민D
2025-10-22,26.43216,비타민D
2025-10-23,31.05527,비타민D
2025-10-24,30.25125,비타민D
2025-10-25,29.94974,비타민D
2025-10-26,28.74371,비타민D
2025-10-27,31.35678,비타민D
2025-10-28,36.1809,비타민D
2025-10-29,40.60301,비타민D
2025-10-30,40.1005,비타민D
2025-10-31,35.77889,비타민D
2025-11-01,26.53266,비타민D
2025-11-02,29.84924,비타민D
2025-11-03,41.00502,비타민D
2025-11-04,38.09045,비타민D
2025-11-05,30.65326,비타민D
2025-11-06,45.12562,비타민D
2025-11-07,28.64321,비타민D
2025-11-08,33.96984,비타민D
2025-11-09,33.06532,비타민D
2025-11-10,47.13567,비타민D
2025-11-11,43.21608,비타민D
2025-11-12,31.45728,비타민D
2025-11-13,34.87437,비타민D
2025-11-14,32.0603,비타민D
2025-11-15,36.3819,비타민D
