period,ratio,category
2025-02-13,85.80715,오메가3
2025-02-14,80.39003,오메가3
2025-02-15,75.40628,오메가3
2025-02-16,83.53196,오메가3
2025-02-17,91.06175,오메가3
2025-02-18,89.49079,오메가3
2025-02-19,88.19068,오메가3
2025-02-20,87.37811,오메가3
2025-02-21,86.18634,오메가3
2025-02-22,75.83965,오메가3
2025-02-23,85.26543,오메가3
2025-02-24,100.0,오메가3
2025-02-25,90.08667,오메가3
2025-02-26,84.77789,오메가3
2025-02-27,88.24485,오메가3
2025-02-28,78.81906,오메가3
2025-03-01,81.47345,오메가3
2025-03-02,75.13542,오메가3
2025-03-03,82.55687,오메가3
2025-03-04,93.2286,오메가3
2025-03-05,89.38244,오메가3
2025-03-06,83.31527,오메가3
2025-03-07,77.95232,오메가3
2025-03-08,70.36836,오메가3
2025-03-09,83.47778,오메가3
2025-03-10,94.74539,오메가3
2025-03-11,84.18201,오메가3
2025-03-12,87.59479,오메가3
2025-03-13,80.55254,오메가3
2025-03-14,76.97724,오메가3
2025-03-15,66.19718,오메가3
2025-03-16,75.78548,오메가3
2025-03-17,92.63271,오메가3
2025-03-18,87.54062,오메가3
2025-03-19,82.77356,오메가3
2025-03-20,81.79848,오메가3
2025-03-21,72.96858,오메가3
2025-03-22,72.64355,오메가3
2025-03-23,76.8689,오메가3
2025-03-24,90.95341,오메가3
2025-03-25,83.85698,오메가3
2025-03-26,80.11917,오메가3
2025-03-27,81.79848,오메가3
2025-03-28,79.95666,오메가3
2025-03-29,72.04767,오메가3
2025-03-30,75.51462,오메가3
2025-03-31,81.58179,오메가3
2025-04-01,81.2026,오메가3
2025-04-02,76.16468,오메가3
2025-04-03,80.49837,오메가3
2025-04-04,73.2936,오메가3
2025-04-05,63.00108,오메가3
2025-04-06,68.4182,오메가3
2025-04-07,80.8234,오메가3
2025-04-08,79.95666,오메가3
2025-04-09,83.69447,오메가3
2025-04-10,84.12784,오메가3
2025-04-11,75.51462,오메가3
2025-04-12,74.91874,오메가3
2025-04-13,75.18959,오메가3
2025-04-14,84.0195,오메가3
2025-04-15,86.29469,오메가3
2025-04-16,83.31527,오메가3
2025-04-17,85.6988,오메가3
2025-04-18,77.78981,오메가3
2025-04-19,71.66847,오메가3
2025-04-20,79.08992,오메가3
2025-04-21,85.75297,오메가3
2025-04-22,84.18201,오메가3
2025-04-23,73.56446,오메가3
2025-04-24,76.21885,오메가3
2025-04-25,74.21451,오메가3
2025-04-26,62.67605,오메가3
2025-04-27,71.56013,오메가3
2025-04-28,80.87757,오메가3
2025-04-29,78.33152,오메가3
2025-04-30,70.53087,오메가3
2025-05-01,65.2221,오메가3
2025-05-02,70.91007,오메가3
2025-05-03,66.30552,오메가3
2025-05-04,65.65547,오메가3
2025-05-05,69.23076,오메가3
2025-05-06,71.01841,오메가3
2025-05-07,84.88624,오메가3
2025-05-08,70.74756,오메가3
2025-05-09,75.51462,오메가3
2025-05-10,67.55146,오메가3
2025-05-11,68.90574,오메가3
2025-05-12,74.26868,오메가3
2025-05-13,79.90249,오메가3
2025-05-14,77.19393,오메가3
2025-05-15,74.26868,오메가3
2025-05-16,63.21776,오메가3
2025-05-17,57.15059,오메가3
2025-05-18,63.86782,오메가3
2025-05-19,71.66847,오메가3
2025-05-20,74.16034,오메가3
2025-05-21,63.16359,오메가3
2025-05-22,59.91332,오메가3
2025-05-23,60.8884,오메가3
2025-05-24,55.20043,오메가3
2025-05-25,63.21776,오메가3
2025-05-26,72.48104,오메가3
2025-05-27,67.6598,오메가3
2025-05-28,68.95991,오메가3
2025-05-29,62.56771,오메가3
2025-05-30,69.33911,오메가3
2025-05-31,57.3131,오메가3
2025-06-01,60.83423,오메가3
2025-06-02,74.21451,오메가3
